"country","simulation","group","points","goals_scored","goals_taken","diff_goals","rank"
"Croatia",1,1,7,3,1,2,1
"Norway",1,1,4,5,4,1,2
"Uzbekistan",1,1,4,5,4,1,3
"Mexico",1,2,6,5,3,2,1
"Morocco",1,2,4,4,3,1,2
"Austria",1,2,4,1,1,0,3
"Canada",1,3,7,5,1,4,1
"Scotland",1,3,5,4,2,2,2
"South Africa",1,4,7,6,3,3,1
"Belgium",1,4,4,3,3,0,2
"Jamaica",1,4,3,3,3,0,3
"Colombia",1,5,6,2,1,1,1
"Nigeria",1,5,5,4,3,1,2
"Costa Rica",1,6,7,3,1,2,1
"Iran",1,6,4,6,4,2,2
"France",1,6,3,2,2,0,3
"Australia",1,7,5,6,3,3,1
"Denmark",1,7,5,3,2,1,2
"Portugal",1,7,3,2,2,0,3
"Korea Republic",1,8,5,3,1,2,1
"Ghana",1,8,4,4,4,0,2
"Argentina",1,8,4,3,4,-1,3
"Poland",1,9,6,6,3,3,1
"Jordan",1,9,6,5,2,3,2
"Egypt",1,9,4,3,5,-2,3
"Qatar",1,10,9,4,1,3,1
"Algeria",1,10,6,4,2,2,2
"Saudi Arabia",1,11,7,7,3,4,1
"Italy",1,11,7,6,2,4,2
"Cameroon",1,12,7,3,1,2,1
"Spain",1,12,6,4,2,2,2
"Japan",1,12,4,4,5,-1,3
"United States",2,1,7,7,4,3,1
"Netherlands",2,1,4,2,3,-1,2
"Iran",2,1,3,4,4,0,3
"Scotland",2,2,9,5,1,4,1
"Mexico",2,2,6,4,3,1,2
"New Zealand",2,3,9,5,1,4,1
"Algeria",2,3,3,3,4,-1,2
"Jamaica",2,4,7,6,3,3,1
"Senegal",2,4,5,6,5,1,2
"Jordan",2,4,4,6,6,0,3
"England",2,5,9,7,3,4,1
"Japan",2,5,4,3,3,0,2
"Colombia",2,5,3,4,4,0,3
"Uzbekistan",2,6,6,7,2,5,1
"Egypt",2,6,4,3,2,1,2
"Denmark",2,6,4,2,5,-3,3
"Costa Rica",2,7,7,5,2,3,1
"Nigeria",2,7,4,5,4,1,2
"Uruguay",2,7,4,3,3,0,3
"Qatar",2,8,7,6,4,2,1
"Portugal",2,8,4,6,6,0,2
"Australia",2,9,5,3,2,1,1
"Spain",2,9,4,3,3,0,2
"Ghana",2,9,3,2,2,0,3
"Italy",2,10,7,8,5,3,1
"Switzerland",2,10,4,6,4,2,2
"South Africa",2,10,4,3,4,-1,3
"Korea Republic",2,11,7,6,3,3,1
"Panama",2,11,4,6,3,3,2
"France",2,11,4,4,5,-1,3
"Haiti",2,12,7,4,1,3,1
"Norway",2,12,4,2,2,0,2
"New Zealand",3,1,7,5,1,4,1
"Poland",3,1,4,2,2,0,2
"Austria",3,2,7,5,1,4,1
"Mexico",3,2,4,4,5,-1,2
"Jordan",3,2,3,4,4,0,3
"Colombia",3,3,6,4,3,1,1
"Canada",3,3,5,4,3,1,2
"Egypt",3,3,4,4,4,0,3
"Cameroon",3,4,9,6,0,6,1
"Jamaica",3,4,4,2,3,-1,2
