"team","group_team","opp_team","group_opp_team","match_num_final","simulation"
"Austria","10","Jamaica","2","1","1"
"Mexico","11","Jamaica","4","1","2"
"Cameroon","11","Croatia","1","1","3"
"Australia","6","Panama","12","1","4"
"South Africa","12","Belgium","5","1","5"
"Australia","1","Croatia","3","1","6"
"France","10","Cameroon","7","1","7"
"Ghana","11","Haiti","6","1","8"
"Qatar","11","Senegal","1","1","9"
"Scotland","4","Korea Republic","6","1","10"
"Paraguay","9","Morocco","12","1","11"
"Norway","6","Haiti","11","1","12"
"Haiti","1","Ghana","8","1","13"
"New Zealand","5","Italy","3","1","14"
"Uruguay","6","Brazil","9","1","15"
"Haiti","12","Chile","2","1","16"
"Korea Republic","4","Chile","5","1","17"
"Ecuador","5","Egypt","4","1","18"
"Haiti","9","Iran","4","1","19"
"Scotland","4","Ghana","2","1","20"
