"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Qatar",10,1,"Croatia",1,1,1,1
"Costa Rica",6,1,"Cameroon",12,1,2,1
"South Africa",4,1,"Canada",3,1,3,1
"Norway",1,2,"Ghana",8,2,4,1
"Colombia",5,1,"Mexico",2,1,5,1
"Japan",12,3,"Argentina",8,3,6,1
"Poland",9,1,"Australia",7,1,7,1
"Korea Republic",8,1,"Scotland",3,2,8,1
"Ghana",9,3,"Colombia",5,3,1,2
"England",5,1,"Algeria",3,2,2,2
"Panama",11,2,"Jamaica",4,1,3,2
"Costa Rica",7,1,"Egypt",6,2,4,2
"Korea Republic",11,1,"Spain",9,2,5,2
"Portugal",8,2,"Uruguay",7,3,6,2
"Japan",5,2,"Australia",9,1,7,2
"Denmark",6,3,"South Africa",10,3,8,2
"Paraguay",12,3,"Jordan",2,3,1,3
"Ghana",8,1,"Spain",9,1,2,3
"Cameroon",4,1,"New Zealand",1,1,3,3
"Austria",2,1,"Algeria",7,1,4,3
"Uzbekistan",9,2,"Qatar",6,1,5,3
"Argentina",11,1,"Canada",3,2,6,3
"Egypt",3,3,"Uruguay",7,3,7,3
"Mexico",2,2,"Iran",8,2,8,3
"Qatar",6,1,"Croatia",3,3,1,4
"Argentina",12,2,"Ghana",7,1,2,4
"Ecuador",3,1,"Cameroon",1,1,3,4
"Panama",5,3,"Uzbekistan",11,1,4,4
"South Africa",8,3,"Canada",3,2,5,4
"England",5,2,"Australia",7,2,6,4
"Egypt",12,1,"Japan",10,2,7,4
"Portugal",10,1,"Haiti",4,1,8,4
"Jamaica",7,3,"Brazil",4,1,1,5
"Argentina",6,3,"Costa Rica",4,3,2,5
"Panama",8,1,"Jordan",2,3,3,5
"Germany",12,1,"Norway",2,1,4,5
"Australia",1,3,"Saudi Arabia",11,2,5,5
"Denmark",5,2,"Italy",12,3,6,5
"Austria",11,3,"Canada",3,2,7,5
"Chile",8,2,"Ghana",1,2,8,5
"Scotland",4,1,"Mexico",2,3,1,6
"Cameroon",9,1,"Tunisia",2,1,2,6
"Paraguay",11,1,"Poland",12,2,3,6
"South Africa",1,1,"Senegal",6,3,4,6
"Costa Rica",5,3,"Haiti",4,3,5,6
"Haiti",4,2,"Japan",3,3,6,6
"Norway",7,1,"Austria",7,2,7,6
"Korea Republic",9,2,"United States",1,2,8,6
"New Zealand",9,1,"Austria",10,1,1,7
"Jamaica",4,1,"Germany",12,3,2,7
"Cameroon",7,2,"United States",1,1,3,7
"Switzerland",5,1,"Chile",8,3,4,7
"Colombia",6,1,"Uzbekistan",12,1,5,7
"Egypt",11,1,"Croatia",3,2,6,7
"Nigeria",5,2,"Norway",8,2,7,7
"Iran",2,1,"South Africa",8,1,8,7
"Austria",10,3,"Netherlands",6,3,1,8
"Japan",6,1,"Saudi Arabia",2,2,2,8
"Italy",12,3,"New Zealand",9,3,3,8
"Jordan",12,2,"Uruguay",11,3,4,8
"England",9,2,"Egypt",5,2,5,8
"Argentina",10,2,"Haiti",11,2,6,8
"Ecuador",4,3,"Tunisia",7,2,7,8
"United States",1,1,"Morocco",1,2,8,8
"Costa Rica",11,3,"Ecuador",7,2,1,9
"Spain",7,1,"Chile",11,1,2,9
"South Africa",4,1,"Brazil",8,3,3,9
"Saudi Arabia",2,2,"Qatar",10,2,4,9
"Belgium",11,2,"Colombia",9,3,5,9
"Korea Republic",6,2,"Germany",12,3,6,9
"Morocco",12,1,"New Zealand",12,2,7,9
"Australia",3,2,"Iran",5,1,8,9
"Costa Rica",9,3,"Jamaica",6,2,1,10
"Ghana",3,3,"Cameroon",1,1,2,10
"Tunisia",7,2,"New Zealand",6,1,3,10
"Algeria",8,1,"Ecuador",5,3,4,10
"Qatar",7,1,"Uzbekistan",2,2,5,10
"Netherlands",5,2,"Haiti",11,2,6,10
"Jordan",10,3,"Poland",2,3,7,10
"England",9,2,"Italy",7,3,8,10
"Mexico",2,1,"Ecuador",7,1,1,11
"Germany",12,3,"Austria",9,1,2,11
"Spain",11,1,"Scotland",2,2,3,11
"New Zealand",3,1,"Panama",11,3,4,11
"Jordan",10,1,"Jamaica",10,3,5,11
"Japan",6,1,"Algeria",12,2,6,11
"Portugal",9,2,"Senegal",10,2,7,11
"Switzerland",8,2,"Denmark",4,2,8,11
"Senegal",7,3,"Tunisia",5,3,1,12
"Costa Rica",5,1,"Scotland",12,2,2,12
"Austria",11,2,"United States",1,1,3,12
"Uruguay",8,2,"Morocco",6,1,4,12
"South Africa",11,3,"Uzbekistan",4,1,5,12
"Mexico",2,1,"Ghana",1,3,6,12
"Ghana",1,2,"Colombia",10,2,7,12
"Cameroon",9,3,"Egypt",8,3,8,12
"Croatia",2,1,"France",11,1,1,13
"Australia",5,1,"Nigeria",12,2,2,13
