"team","group_team","opp_team","group_opp_team","match_num_semi","simulation"
"Portugal","4","Cameroon","9","1","1"
"Jordan","5","Saudi Arabia","6","2","1"
"Uruguay","2","Panama","6","1","2"
"Algeria","4","Scotland","1","2","2"
"Poland","11","Canada","8","1","3"
"Costa Rica","11","South Africa","9","2","3"
"France","7","Haiti","9","1","4"
"Egypt","9","Ghana","2","2","4"
"Uzbekistan","3","New Zealand","7","1","5"
"Jamaica","4","Costa Rica","9","2","5"
"Uruguay","8","Canada","9","1","6"
"New Zealand","6","Haiti","2","2","6"
"Jordan","8","Costa Rica","10","1","7"
"Australia","9","Egypt","7","2","7"
"Australia","2","Tunisia","11","1","8"
"Haiti","8","Argentina","9","2","8"
"Chile","5","Senegal","8","1","9"
"Australia","2","Morocco","12","2","9"
"Argentina","6","Korea Republic","11","1","10"
"Algeria","2","Morocco","1","2","10"
"Australia","1","Poland","7","1","11"
"Nigeria","7","Costa Rica","7","2","11"
"Iran","7","Nigeria","10","1","12"
"Belgium","4","New Zealand","1","2","12"
"South Africa","2","Ghana","10","1","13"
"Spain","9","Australia","1","2","13"
"Canada","6","Costa Rica","11","1","14"
"Haiti","4","Uzbekistan","7","2","14"
"Mexico","11","Panama","4","1","15"
"England","8","Jordan","2","2","15"
"Saudi Arabia","3","Panama","5","1","16"
"Netherlands","4","Nigeria","12","2","16"
"Jordan","10","Qatar","12","1","17"
"Egypt","11","Paraguay","7","2","17"
"Qatar","7","Poland","12","1","18"
"Saudi Arabia","1","New Zealand","9","2","18"
"France","10","Panama","12","1","19"
"Croatia","11","Costa Rica","10","2","19"
"Nigeria","10","New Zealand","7","1","20"
"Scotland","1","Jordan","11","2","20"
"Scotland","1","Ghana","5","1","21"
"South Africa","7","Nigeria","11","2","21"
"Jamaica","7","Belgium","1","1","22"
"Saudi Arabia","7","Colombia","11","2","22"
"Wales","10","Saudi Arabia","8","1","23"
"Ecuador","10","Colombia","5","2","23"
"Austria","6","Panama","9","1","24"
"Saudi Arabia","6","Nigeria","8","2","24"
"Panama","5","Egypt","1","1","25"
"Nigeria","3","South Africa","11","2","25"
"Qatar","7","Algeria","1","1","26"
"Cameroon","9","Panama","6","2","26"
"Wales","9","Nigeria","2","1","27"
"Germany","5","Saudi Arabia","3","2","27"
"Norway","11","Jamaica","4","1","28"
"France","12","Costa Rica","8","2","28"
"Jamaica","5","Costa Rica","2","1","29"
"Germany","11","Tunisia","9","2","29"
"Italy","8","Austria","9","1","30"
"Poland","10","Argentina","2","2","30"
"Ghana","1","Austria","8","1","31"
"Uzbekistan","9","Croatia","11","2","31"
"United States","1","Nigeria","11","1","32"
"Uzbekistan","4","New Zealand","10","2","32"
"Colombia","11","New Zealand","5","1","33"
"Jamaica","7","Tunisia","4","2","33"
"Australia","12","South Africa","6","1","34"
"Saudi Arabia","8","Morocco","10","2","34"
"Tunisia","3","Jordan","2","1","35"
"Argentina","6","Costa Rica","1","2","35"
"South Africa","12","Ghana","6","1","36"
"Egypt","3","Uzbekistan","8","2","36"
"Panama","3","Portugal","2","1","37"
"Jordan","9","Qatar","12","2","37"
"Nigeria","9","Poland","1","1","38"
"Saudi Arabia","1","Algeria","8","2","38"
"Chile","10","Costa Rica","8","1","39"
"Cameroon","1","Panama","2","2","39"
"Jamaica","4","Austria","1","1","40"
"Panama","9","Egypt","10","2","40"
"Croatia","1","Qatar","8","1","41"
"Uzbekistan","3","Haiti","4","2","41"
"Panama","11","Austria","8","1","42"
"Qatar","10","Australia","1","2","42"
"New Zealand","3","Cameroon","1","1","43"
"Jamaica","11","Switzerland","2","2","43"
"Chile","8","Qatar","4","1","44"
"Ghana","10","Ecuador","2","2","44"
"Canada","3","Cameroon","9","1","45"
"Senegal","6","Wales","2","2","45"
"Canada","1","Jordan","12","1","46"
"Ghana","3","Haiti","6","2","46"
"Iran","7","Saudi Arabia","12","1","47"
"Canada","10","Qatar","3","2","47"
"Panama","10","Costa Rica","3","1","48"
"Australia","5","New Zealand","1","2","48"
"Costa Rica","6","Germany","11","1","49"
"Jordan","12","Austria","10","2","49"
"New Zealand","7","Jamaica","4","1","50"
"Jordan","1","Norway","10","2","50"
"Costa Rica","11","Japan","2","1","51"
"Nigeria","5","Morocco","6","2","51"
"Uzbekistan","7","Scotland","6","1","52"
"Jordan","8","Wales","9","2","52"
"Cameroon","11","Scotland","8","1","53"
"Australia","3","Morocco","3","2","53"
"Canada","11","Australia","10","1","54"
"Algeria","7","Chile","2","2","54"
"Portugal","4","Australia","1","1","55"
"Chile","1","Saudi Arabia","5","2","55"
"New Zealand","6","Australia","10","1","56"
"Egypt","1","Costa Rica","11","2","56"
"Jordan","9","Costa Rica","5","1","57"
"Egypt","7","Tunisia","3","2","57"
"Haiti","5","Chile","4","1","58"
"Egypt","1","Iran","11","2","58"
"Uzbekistan","6","United States","1","1","59"
"Cameroon","6","Morocco","9","2","59"
"Switzerland","5","Korea Republic","12","1","60"
"Egypt","5","Australia","9","2","60"
"Norway","5","Belgium","11","1","61"
"New Zealand","9","South Africa","2","2","61"
"Jamaica","11","Denmark","1","1","62"
"Canada","5","Tunisia","8","2","62"
"Jamaica","2","Tunisia","8","1","63"
"United States","1","Egypt","3","2","63"
"Austria","3","Ghana","12","1","64"
"Egypt","2","Haiti","4","2","64"
"Iran","11","Scotland","2","1","65"
"Costa Rica","3","Switzerland","2","2","65"
"Japan","10","Denmark","5","1","66"
"Jordan","6","Ecuador","9","2","66"
"Jamaica","4","Panama","4","1","67"
"Japan","2","Australia","3","2","67"
"Scotland","3","Saudi Arabia","1","1","68"
"Haiti","11","Cameroon","9","2","68"
"New Zealand","11","United States","1","1","69"
"Uruguay","11","Egypt","8","2","69"
"Saudi Arabia","12","Panama","5","1","70"
"Poland","2","Switzerland","1","2","70"
"Cameroon","8","Uzbekistan","3","1","71"
"Ecuador","4","Scotland","2","2","71"
"Jordan","7","Poland","10","1","72"
"Egypt","8","Saudi Arabia","10","2","72"
"Haiti","9","Nigeria","1","1","73"
"Colombia","4","Jamaica","7","2","73"
"Costa Rica","3","Japan","12","1","74"
"Korea Republic","10","Iran","1","2","74"
"Portugal","7","Switzerland","5","1","75"
"Ghana","7","Uzbekistan","3","2","75"
"Jordan","10","South Africa","1","1","76"
"Panama","7","Poland","9","2","76"
"Germany","2","Jordan","2","1","77"
"Belgium","6","Uzbekistan","11","2","77"
"Algeria","1","Denmark","9","1","78"
"Saudi Arabia","1","Croatia","2","2","78"
"South Africa","8","Cameroon","4","1","79"
"New Zealand","7","Saudi Arabia","9","2","79"
"Egypt","10","Haiti","4","1","80"
"Australia","3","Cameroon","5","2","80"
"Cameroon","11","Germany","11","1","81"
"Argentina","3","Egypt","8","2","81"
"Panama","4","Canada","12","1","82"
"Iran","10","Switzerland","5","2","82"
"Jordan","6","Uruguay","10","1","83"
"Cameroon","10","Mexico","1","2","83"
"Croatia","5","Canada","2","1","84"
"South Africa","4","Panama","6","2","84"
"South Africa","7","Australia","4","1","85"
"Switzerland","1","Poland","4","2","85"
"South Africa","10","Australia","12","1","86"
"Germany","4","Morocco","6","2","86"
"Saudi Arabia","1","Jordan","1","1","87"
"Canada","3","Costa Rica","6","2","87"
"Canada","7","Panama","9","1","88"
"Algeria","8","Austria","2","2","88"
"Canada","9","Nigeria","6","1","89"
"Uzbekistan","1","Paraguay","10","2","89"
"Iran","1","Argentina","4","1","90"
"United States","1","South Africa","10","2","90"
"Austria","12","Uzbekistan","5","1","91"
"Switzerland","3","Egypt","1","2","91"
"Poland","6","Iran","9","1","92"
"Mexico","2","Uzbekistan","9","2","92"
"Germany","6","Argentina","1","1","93"
"Belgium","3","Uruguay","5","2","93"
"Nigeria","10","Morocco","11","1","94"
"Ghana","1","Australia","4","2","94"
"Saudi Arabia","3","Iran","8","1","95"
"Jordan","7","Costa Rica","12","2","95"
"Haiti","9","Egypt","6","1","96"
"Ghana","10","Panama","7","2","96"
"Korea Republic","1","Chile","5","1","97"
"Egypt","7","Morocco","5","2","97"
"Haiti","10","Tunisia","9","1","98"
"Chile","12","Austria","8","2","98"
"Jordan","4","Costa Rica","10","1","99"
"Scotland","2","Haiti","1","2","99"
"South Africa","2","Chile","9","1","100"
"Norway","9","Korea Republic","10","2","100"
