"team","group_team","opp_team","group_opp_team","match_num_quarter","simulation"
"Ecuador","2","England","7","1","1"
"France","10","Colombia","8","2","1"
"Belgium","6","Jamaica","12","3","1"
"Nigeria","10","Italy","4","4","1"
"Brazil","4","Algeria","1","1","2"
"Poland","10","Spain","11","2","2"
"Norway","11","Switzerland","7","3","2"
"Belgium","9","Netherlands","4","4","2"
"Germany","10","Italy","8","1","3"
"France","6","England","8","2","3"
"United States","1","Argentina","6","3","3"
"Netherlands","1","Colombia","9","4","3"
"Belgium","12","Germany","9","1","4"
"Brazil","10","Korea Republic","3","2","4"
"Portugal","11","Japan","1","3","4"
"Australia","7","Uruguay","4","4","4"
"England","3","Brazil","6","1","5"
"United States","1","Senegal","12","2","5"
"Italy","5","Belgium","9","3","5"
"Denmark","2","Colombia","9","4","5"
"Portugal","6","France","7","1","6"
"Belgium","5","Paraguay","8","2","6"
"Korea Republic","6","England","5","3","6"
"Argentina","12","Italy","9","4","6"
"Japan","2","Belgium","11","1","7"
"France","11","Brazil","3","2","7"
"Spain","12","Korea Republic","5","3","7"
"Uruguay","4","Poland","4","4","7"
"Belgium","11","England","9","1","8"
"Italy","5","Uruguay","11","2","8"
"France","5","Chile","4","3","8"
"Argentina","2","Switzerland","9","4","8"
"Belgium","6","Brazil","2","1","9"
"Colombia","5","Portugal","11","2","9"
"Germany","9","England","10","3","9"
"Australia","12","Spain","10","4","9"
"England","1","Belgium","8","1","10"
"Colombia","11","Croatia","2","2","10"
"Portugal","4","Mexico","2","3","10"
"Austria","7","France","12","4","10"
"Wales","1","Netherlands","7","1","11"
"Brazil","8","Egypt","9","2","11"
"Belgium","12","Ecuador","6","3","11"
"Germany","3","Norway","4","4","11"
"Switzerland","1","Germany","11","1","12"
"Belgium","4","Denmark","5","2","12"
"Argentina","12","Chile","9","3","12"
"Italy","2","Korea Republic","2","4","12"
"France","6","Belgium","6","1","13"
"Argentina","1","Spain","9","2","13"
"Brazil","11","Italy","7","3","13"
"Scotland","10","Portugal","12","4","13"
"Belgium","10","Netherlands","11","1","14"
"Ecuador","12","Chile","1","2","14"
"Italy","8","Argentina","4","3","14"
"Colombia","12","Spain","6","4","14"
"Italy","7","France","4","1","15"
"Netherlands","9","Iran","9","2","15"
"Brazil","6","Spain","9","3","15"
"Croatia","4","Belgium","2","4","15"
"France","9","Korea Republic","4","1","16"
"Brazil","12","Belgium","10","2","16"
"Netherlands","8","Mexico","2","3","16"
"Uzbekistan","1","Senegal","8","4","16"
"Paraguay","12","Germany","4","1","17"
"Ecuador","7","Croatia","11","2","17"
"Uruguay","8","Argentina","4","3","17"
"Mexico","2","England","10","4","17"
"Chile","5","Netherlands","1","1","18"
"Spain","9","Italy","8","2","18"
"Denmark","9","Wales","7","3","18"
"Austria","5","Uruguay","10","4","18"
"Spain","11","Brazil","2","1","19"
"Portugal","5","Argentina","8","2","19"
"Iran","1","Italy","5","3","19"
"Germany","2","Croatia","12","4","19"
"Belgium","5","Italy","3","1","20"
"Wales","10","Chile","12","2","20"
"Brazil","7","Iran","2","3","20"
"England","10","Spain","6","4","20"
"France","7","Korea Republic","10","1","21"
"Egypt","4","Netherlands","1","2","21"
"Paraguay","7","England","9","3","21"
"Italy","10","Croatia","4","4","21"
"Italy","12","France","5","1","22"
"Uruguay","11","Poland","9","2","22"
"Colombia","4","Argentina","6","3","22"
"Mexico","3","Belgium","12","4","22"
"Belgium","11","Netherlands","5","1","23"
"Korea Republic","9","France","2","2","23"
"Ecuador","1","Chile","12","3","23"
"Iran","2","Spain","10","4","23"
"Switzerland","9","Portugal","4","1","24"
"Brazil","7","Spain","7","2","24"
"Qatar","10","Senegal","3","3","24"
"France","11","Italy","12","4","24"
"Netherlands","5","Brazil","9","1","25"
"Italy","4","Uruguay","5","2","25"
"Mexico","2","Austria","1","3","25"
"Denmark","10","Costa Rica","11","4","25"
"Portugal","5","Spain","8","1","26"
"Germany","9","Colombia","11","2","26"
"France","2","Belgium","8","3","26"
"Argentina","1","Uruguay","6","4","26"
"Brazil","6","Chile","8","1","27"
"Wales","11","Italy","12","2","27"
"Germany","1","Uruguay","4","3","27"
"Ecuador","1","Mexico","2","4","27"
"Poland","1","Brazil","2","1","28"
"Costa Rica","12","Croatia","8","2","28"
"Austria","9","Spain","11","3","28"
"England","7","Argentina","12","4","28"
"Denmark","3","Uruguay","6","1","29"
"Germany","11","Brazil","1","2","29"
"Japan","9","Belgium","8","3","29"
"Austria","5","Italy","2","4","29"
"France","11","England","9","1","30"
"Netherlands","7","Colombia","10","2","30"
"Wales","3","Spain","6","3","30"
"Italy","6","Croatia","9","4","30"
"England","8","Egypt","10","1","31"
"Spain","6","Brazil","2","2","31"
"Senegal","2","Italy","7","3","31"
"Portugal","12","Chile","3","4","31"
"Germany","1","Uruguay","7","1","32"
"Scotland","3","France","5","2","32"
"Poland","6","Brazil","1","3","32"
"Denmark","7","Spain","11","4","32"
"England","11","Brazil","9","1","33"
"Netherlands","5","Croatia","7","2","33"
"Haiti","10","Belgium","4","3","33"
"Switzerland","7","Italy","4","4","33"
"Senegal","6","Belgium","6","1","34"
"Chile","2","Portugal","8","2","34"
"Australia","4","Argentina","12","3","34"
"Brazil","10","Colombia","5","4","34"
"Cameroon","11","Argentina","3","1","35"
"England","10","Poland","2","2","35"
"Italy","7","Belgium","12","3","35"
"Chile","2","Colombia","5","4","35"
"Ecuador","5","Argentina","10","1","36"
"Norway","9","Netherlands","4","2","36"
"Nigeria","3","Poland","1","3","36"
"Italy","8","Spain","6","4","36"
"France","4","Korea Republic","8","1","37"
"Croatia","12","Colombia","5","2","37"
"United States","1","Denmark","8","3","37"
"Uruguay","10","Belgium","7","4","37"
"Mexico","2","Japan","5","1","38"
"England","8","Italy","4","2","38"
"Paraguay","6","Argentina","10","3","38"
"Belgium","5","Colombia","8","4","38"
"England","11","Belgium","8","1","39"
"Brazil","4","France","2","2","39"
"Netherlands","6","Switzerland","10","3","39"
"Denmark","9","Austria","9","4","39"
"Morocco","6","Spain","9","1","40"
"Wales","9","Mexico","5","2","40"
"Brazil","12","Switzerland","10","3","40"
"France","10","Germany","7","4","40"
"Australia","10","Chile","9","1","41"
"Italy","11","Paraguay","10","2","41"
"Brazil","4","Argentina","5","3","41"
"England","6","Netherlands","3","4","41"
"France","11","Portugal","4","1","42"
"Switzerland","11","Belgium","3","2","42"
"United States","1","Germany","4","3","42"
"Uruguay","10","Denmark","7","4","42"
"Brazil","12","Portugal","8","1","43"
"Chile","1","Germany","10","2","43"
"Spain","11","Wales","6","3","43"
"Denmark","8","Algeria","7","4","43"
"France","9","Portugal","11","1","44"
"Denmark","2","Italy","10","2","44"
"Australia","9","Costa Rica","10","3","44"
"Brazil","4","Germany","8","4","44"
"Argentina","11","Spain","11","1","45"
"France","5","New Zealand","1","2","45"
"Iran","2","Wales","12","3","45"
"Belgium","9","Colombia","2","4","45"
"Netherlands","9","England","7","1","46"
"Algeria","1","Austria","11","2","46"
"Portugal","11","Brazil","1","3","46"
"Germany","2","Belgium","9","4","46"
"Argentina","10","Netherlands","5","1","47"
"Wales","12","Japan","7","2","47"
"Paraguay","2","Germany","10","3","47"
"Spain","8","France","11","4","47"
"Denmark","8","Brazil","11","1","48"
"Netherlands","6","New Zealand","10","2","48"
"Mexico","2","Argentina","11","3","48"
"Croatia","9","Belgium","6","4","48"
"Brazil","4","Portugal","9","1","49"
"Belgium","1","Colombia","2","2","49"
"France","10","Switzerland","12","3","49"
"Mexico","2","Norway","5","4","49"
"Italy","10","Qatar","11","1","50"
"England","3","Croatia","7","2","50"
"United States","1","Chile","4","3","50"
