"simulation","winners","second_places","third_places","fourth_places"
1,"Jordan","Portugal","Saudi Arabia","Cameroon"
2,"Panama","Scotland","Uruguay","Algeria"
3,"Canada","Costa Rica","Poland","South Africa"
4,"Ghana","Haiti","Egypt","France"
5,"New Zealand","Jamaica","Costa Rica","Uzbekistan"
6,"Haiti","Canada","Uruguay","New Zealand"
7,"Australia","Costa Rica","Egypt","Jordan"
8,"Tunisia","Haiti","Australia","Argentina"
9,"Morocco","Chile","Australia","Senegal"
10,"Korea Republic","Algeria","Morocco","Argentina"
11,"Costa Rica","Australia","Poland","Nigeria"
12,"Nigeria","Belgium","New Zealand","Iran"
13,"South Africa","Spain","Ghana","Australia"
14,"Costa Rica","Haiti","Uzbekistan","Canada"
15,"Mexico","England","Panama","Jordan"
16,"Nigeria","Saudi Arabia","Netherlands","Panama"
17,"Paraguay","Qatar","Egypt","Jordan"
18,"Qatar","Saudi Arabia","Poland","New Zealand"
19,"Costa Rica","France","Panama","Croatia"
20,"Nigeria","Scotland","Jordan","New Zealand"
21,"South Africa","Ghana","Scotland","Nigeria"
22,"Jamaica","Saudi Arabia","Colombia","Belgium"
23,"Saudi Arabia","Colombia","Wales","Ecuador"
24,"Nigeria","Austria","Panama","Saudi Arabia"
25,"Egypt","South Africa","Nigeria","Panama"
26,"Qatar","Cameroon","Algeria","Panama"
27,"Nigeria","Saudi Arabia","Wales","Germany"
28,"Costa Rica","Jamaica","Norway","France"
29,"Germany","Costa Rica","Tunisia","Jamaica"
30,"Poland","Austria","Argentina","Italy"
31,"Ghana","Uzbekistan","Croatia","Austria"
32,"New Zealand","United States","Nigeria","Uzbekistan"
33,"New Zealand","Tunisia","Colombia","Jamaica"
34,"Australia","Saudi Arabia","South Africa","Morocco"
35,"Argentina","Tunisia","Jordan","Costa Rica"
36,"South Africa","Egypt","Ghana","Uzbekistan"
37,"Qatar","Portugal","Panama","Jordan"
38,"Nigeria","Saudi Arabia","Poland","Algeria"
39,"Chile","Cameroon","Panama","Costa Rica"
40,"Egypt","Jamaica","Panama","Austria"
41,"Haiti","Qatar","Croatia","Uzbekistan"
42,"Panama","Australia","Qatar","Austria"
43,"Jamaica","Cameroon","New Zealand","Switzerland"
44,"Ghana","Qatar","Ecuador","Chile"
45,"Wales","Canada","Senegal","Cameroon"
46,"Haiti","Canada","Jordan","Ghana"
47,"Canada","Iran","Saudi Arabia","Qatar"
48,"Costa Rica","New Zealand","Panama","Australia"
49,"Jordan","Costa Rica","Austria","Germany"
50,"New Zealand","Norway","Jordan","Jamaica"
51,"Nigeria","Costa Rica","Japan","Morocco"
52,"Wales","Uzbekistan","Jordan","Scotland"
53,"Australia","Cameroon","Morocco","Scotland"
54,"Australia","Chile","Algeria","Canada"
55,"Australia","Saudi Arabia","Portugal","Chile"
56,"New Zealand","Egypt","Costa Rica","Australia"
57,"Jordan","Tunisia","Costa Rica","Egypt"
58,"Chile","Egypt","Haiti","Iran"
59,"Morocco","Uzbekistan","Cameroon","United States"
60,"Egypt","Korea Republic","Australia","Switzerland"
61,"Norway","New Zealand","Belgium","South Africa"
62,"Jamaica","Tunisia","Denmark","Canada"
63,"Tunisia","Egypt","Jamaica","United States"
64,"Egypt","Ghana","Austria","Haiti"
65,"Costa Rica","Scotland","Iran","Switzerland"
66,"Jordan","Denmark","Ecuador","Japan"
67,"Japan","Panama","Jamaica","Australia"
68,"Cameroon","Scotland","Haiti","Saudi Arabia"
69,"New Zealand","Egypt","United States","Uruguay"
70,"Switzerland","Saudi Arabia","Panama","Poland"
71,"Ecuador","Uzbekistan","Scotland","Cameroon"
72,"Jordan","Egypt","Saudi Arabia","Poland"
73,"Jamaica","Haiti","Colombia","Nigeria"
74,"Iran","Japan","Korea Republic","Costa Rica"
75,"Switzerland","Uzbekistan","Portugal","Ghana"
76,"Panama","South Africa","Jordan","Poland"
77,"Uzbekistan","Germany","Belgium","Jordan"
78,"Saudi Arabia","Denmark","Algeria","Croatia"
79,"Saudi Arabia","South Africa","Cameroon","New Zealand"
80,"Australia","Egypt","Haiti","Cameroon"
81,"Egypt","Cameroon","Argentina","Germany"
82,"Switzerland","Canada","Panama","Iran"
83,"Cameroon","Jordan","Uruguay","Mexico"
84,"Panama","Croatia","Canada","South Africa"
85,"South Africa","Switzerland","Poland","Australia"
86,"Australia","Morocco","South Africa","Germany"
87,"Canada","Saudi Arabia","Jordan","Costa Rica"
88,"Canada","Algeria","Panama","Austria"
89,"Uzbekistan","Nigeria","Canada","Paraguay"
90,"Iran","United States","South Africa","Argentina"
91,"Uzbekistan","Egypt","Switzerland","Austria"
92,"Poland","Mexico","Uzbekistan","Iran"
93,"Uruguay","Germany","Belgium","Argentina"
94,"Ghana","Morocco","Nigeria","Australia"
95,"Jordan","Iran","Costa Rica","Saudi Arabia"
96,"Haiti","Panama","Egypt","Ghana"
97,"Chile","Morocco","Korea Republic","Egypt"
98,"Haiti","Austria","Tunisia","Chile"
99,"Scotland","Costa Rica","Jordan","Haiti"
100,"Korea Republic","Chile","South Africa","Norway"
