"team","group_team","opp_team","group_opp_team","match_num_third_place","simulation"
"Croatia","10","Japan","3","1","1"
"England","11","Uruguay","7","1","2"
"Paraguay","12","Egypt","9","1","3"
"Croatia","11","Canada","10","1","4"
"Costa Rica","8","Ghana","11","1","5"
"Mexico","1","Austria","4","1","6"
"Chile","9","Croatia","8","1","7"
"Japan","11","England","1","1","8"
"Ecuador","4","Korea Republic","12","1","9"
"Costa Rica","7","Qatar","2","1","10"
"Ecuador","11","Portugal","8","1","11"
"Scotland","5","South Africa","4","1","12"
"Scotland","3","Algeria","11","1","13"
"Ecuador","4","Saudi Arabia","7","1","14"
"Netherlands","3","Paraguay","7","1","15"
"Senegal","12","Germany","1","1","16"
"Ecuador","1","Nigeria","10","1","17"
"Cameroon","8","Jordan","8","1","18"
"United States","1","South Africa","4","1","19"
"Uzbekistan","10","Saudi Arabia","4","1","20"
"Portugal","6","Croatia","12","1","21"
"Canada","8","South Africa","10","1","22"
"Algeria","5","Jordan","6","1","23"
"Austria","12","Algeria","3","1","24"
"Morocco","7","United States","1","1","25"
"South Africa","6","Algeria","3","1","26"
"Jordan","5","New Zealand","4","1","27"
"Italy","10","Algeria","1","1","28"
"Croatia","1","Cameroon","10","1","29"
"Germany","9","Canada","6","1","30"
"Korea Republic","10","Egypt","3","1","31"
"Uruguay","5","Croatia","12","1","32"
"Costa Rica","7","Iran","3","1","33"
"South Africa","10","Jordan","2","1","34"
"Qatar","7","Jamaica","3","1","35"
"Belgium","12","Netherlands","2","1","36"
"Poland","8","Morocco","9","1","37"
"Portugal","3","South Africa","2","1","38"
"Brazil","12","Wales","12","1","39"
"Australia","5","Ghana","2","1","40"
"Panama","12","Croatia","11","1","41"
"Argentina","3","Haiti","9","1","42"
"Panama","2","Canada","7","1","43"
"Uzbekistan","9","Croatia","11","1","44"
"Ecuador","11","South Africa","1","1","45"
"Canada","6","Scotland","10","1","46"
"Iran","5","Saudi Arabia","4","1","47"
"Ecuador","4","Chile","10","1","48"
"Egypt","4","South Africa","9","1","49"
"Saudi Arabia","8","Uzbekistan","2","1","50"
"Ecuador","10","Uzbekistan","2","1","51"
"Australia","11","Haiti","4","1","52"
"Ghana","1","Costa Rica","7","1","53"
"Qatar","2","Norway","3","1","54"
"Nigeria","12","Ghana","8","1","55"
"Haiti","2","Costa Rica","1","1","56"
"Spain","8","Colombia","12","1","57"
"South Africa","4","Haiti","9","1","58"
"Italy","8","New Zealand","6","1","59"
"Austria","5","Tunisia","7","1","60"
"Cameroon","6","Jamaica","11","1","61"
"Haiti","5","Colombia","6","1","62"
"Scotland","2","Belgium","2","1","63"
"Uruguay","8","Cameroon","2","1","64"
"Jordan","12","Egypt","11","1","65"
"Colombia","3","Senegal","4","1","66"
"Morocco","4","Haiti","3","1","67"
"Wales","1","Poland","10","1","68"
"Jordan","12","Belgium","8","1","69"
"Algeria","11","Uzbekistan","4","1","70"
"Costa Rica","9","Panama","3","1","71"
"Saudi Arabia","10","Germany","6","1","72"
"Australia","11","Korea Republic","6","1","73"
"Egypt","9","Ghana","4","1","74"
"Chile","4","Iran","11","1","75"
"Colombia","7","Egypt","9","1","76"
"Australia","4","Jordan","10","1","77"
"Egypt","4","Panama","2","1","78"
"Cameroon","1","Costa Rica","1","1","79"
"Cameroon","4","Canada","1","1","80"
"Costa Rica","9","Tunisia","4","1","81"
"New Zealand","8","Uzbekistan","9","1","82"
"Italy","9","Canada","11","1","83"
"Algeria","5","Haiti","7","1","84"
"Mexico","3","Uzbekistan","8","1","85"
"Poland","9","Costa Rica","8","1","86"
"Jordan","12","Spain","4","1","87"
"Japan","5","Iran","10","1","88"
"Iran","9","Costa Rica","12","1","89"
"South Africa","3","Japan","2","1","90"
"Denmark","10","Japan","4","1","91"
"Iran","5","Qatar","12","1","92"
"South Africa","12","Uzbekistan","5","1","93"
"Poland","5","Spain","7","1","94"
"Wales","4","Canada","2","1","95"
"Algeria","5","Egypt","8","1","96"
"Jamaica","1","Austria","9","1","97"
"Colombia","8","Costa Rica","4","1","98"
"Germany","9","Senegal","7","1","99"
"Egypt","9","France","1","1","100"
