country,score,continent,confederation
Belgium,1780,Europe,UEFA
France,1755,Europe,UEFA
England,1670,Europe,UEFA
Portugal,1662,Europe,UEFA
Spain,1645,Europe,UEFA
Italy,1625,Europe,UEFA
Croatia,1617,Europe,UEFA
Denmark,1614,Europe,UEFA
Germany,1610,Europe,UEFA
Netherlands,1609,Europe,UEFA
Switzerland,1593,Europe,UEFA
Wales,1562,Europe,UEFA
Poland,1559,Europe,UEFA
Sweden,1558,Europe,UEFA
Austria,1531,Europe,UEFA
Ukraine,1521,Europe,UEFA
Serbia,1492,Europe,UEFA
Turkey,1487,Europe,UEFA
Slovakia,1478,Europe,UEFA
Romania,1466,Europe,UEFA
Russia,1461,Europe,UEFA
Hungary,1460,Europe,UEFA
Republic of Ireland,1456,Europe,UEFA
Czech Republic,1456,Europe,UEFA
Norway,1450,Europe,UEFA
Northern Ireland,1440,Europe,UEFA
Iceland,1438,Europe,UEFA
Scotland,1436,Europe,UEFA
Greece,1413,Europe,UEFA
Finland,1411,Europe,UEFA
Bosnia-Herzegovina,1410,Europe,UEFA
Slovenia,1379,Europe,UEFA
Montenegro,1370,Europe,UEFA
North Macedonia,1362,Europe,UEFA
Albania,1360,Europe,UEFA
Bulgaria,1350,Europe,UEFA
Israel,1279,Europe,UEFA
Belarus,1269,Europe,UEFA
Georgia,1267,Europe,UEFA
Luxembourg,1235,Europe,UEFA
Armenia,1233,Europe,UEFA
Cyprus,1224,Europe,UEFA
Faroe Islands,1183,Europe,UEFA
Azerbaijan,1180,Europe,UEFA
Estonia,1180,Europe,UEFA
Kosovo,1155,Europe,UEFA
Kazakhstan,1142,Europe,UEFA
Lithuania,1114,Europe,UEFA
Latvia,1082,Europe,UEFA
Andorra,1048,Europe,UEFA
Malta,951,Europe,UEFA
Moldova,950,Europe,UEFA
Liechtenstein,924,Europe,UEFA
Gibraltar,888,Europe,UEFA
San Marino,810,Europe,UEFA
Brazil,1743,South America,CONMEBOL
Argentina,1642,South America,CONMEBOL
Uruguay,1639,South America,CONMEBOL
Colombia,1601,South America,CONMEBOL
Chile,1567,South America,CONMEBOL
Peru,1512,South America,CONMEBOL
Venezuela,1501,South America,CONMEBOL
Paraguay,1476,South America,CONMEBOL
Ecuador,1409,South America,CONMEBOL
Bolivia,1307,South America,CONMEBOL
Japan,1502,Asia,AFC
Iran,1496,Asia,AFC
Korea Republic,1465,Asia,AFC
Australia,1457,Asia,AFC
Qatar,1391,Asia,AFC
Saudi Arabia,1353,Asia,AFC
Iraq,1348,Asia,AFC
UAE,1326,Asia,AFC
China PR,1323,Asia,AFC
Syria,1313,Asia,AFC
Oman,1303,Asia,AFC
Uzbekistan,1283,Asia,AFC
Lebanon,1263,Asia,AFC
Vietnam,1258,Asia,AFC
Jordan,1243,Asia,AFC
