"country","score","continent","confederation"
"Belgium",1780,"Europe","UEFA"
"France",1755,"Europe","UEFA"
"England",1670,"Europe","UEFA"
"Portugal",1662,"Europe","UEFA"
"Spain",1645,"Europe","UEFA"
"Italy",1625,"Europe","UEFA"
"Croatia",1617,"Europe","UEFA"
"Denmark",1614,"Europe","UEFA"
"Germany",1610,"Europe","UEFA"
"Netherlands",1609,"Europe","UEFA"
"Switzerland",1593,"Europe","UEFA"
"Wales",1562,"Europe","UEFA"
"Poland",1559,"Europe","UEFA"
"Sweden",1558,"Europe","UEFA"
"Austria",1531,"Europe","UEFA"
"Ukraine",1521,"Europe","UEFA"
"Brazil",1743,"South America","CONMEBOL"
"Argentina",1642,"South America","CONMEBOL"
"Uruguay",1639,"South America","CONMEBOL"
"Colombia",1601,"South America","CONMEBOL"
"Chile",1567,"South America","CONMEBOL"
"Peru",1512,"South America","CONMEBOL"
"Japan",1502,"Asia","AFC"
"Iran",1496,"Asia","AFC"
"Korea Republic",1465,"Asia","AFC"
"Australia",1457,"Asia","AFC"
"Qatar",1391,"Asia","AFC"
"Saudi Arabia",1353,"Asia","AFC"
"Iraq",1348,"Asia","AFC"
"UAE",1326,"Asia","AFC"
"Senegal",1558,"Africa","CAF"
"Tunisia",1503,"Africa","CAF"
"Algeria",1488,"Africa","CAF"
"Morocco",1481,"Africa","CAF"
"Nigeria",1474,"Africa","CAF"
"Egypt",1432,"Africa","CAF"
"Cameroon",1427,"Africa","CAF"
"Ghana",1424,"Africa","CAF"
"Mali",1412,"Africa","CAF"
"Mexico",1632,"North America","CONCACAF"
"United States",1548,"North America","CONCACAF"
"Canada",1332,"North America","CONCACAF"
"Jamaica",1437,"North America","CONCACAF"
"Costa Rica",1427,"North America","CONCACAF"
"Honduras",1367,"North America","CONCACAF"
"New Zealand",1149,"Oceania","OFC"
"Venezuela",1501,"South America","CONMEBOL"
"Burkina Faso",1391,"Africa","CAF"
